Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"110010001011","Block Group 1, Census Tract 1.01, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000215",,,,,"11","001",,,"000101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010001011","Block Group 1",,,,1281,49,54,0,0,28,234,285,237,58,177,130,29,3.83,4.22,0,0,2.19,18.27,22.25,18.5,4.53,13.82,10.15,2.26
"110010001021","Block Group 1, Census Tract 1.02, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000216",,,,,"11","001",,,"000102","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010001021","Block Group 1",,,,1423,20,52,67,0,22,329,53,223,407,133,67,50,1.41,3.65,4.71,0,1.55,23.12,3.72,15.67,28.6,9.35,4.71,3.51
"110010001022","Block Group 2, Census Tract 1.02, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000217",,,,,"11","001",,,"000102","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010001022","Block Group 2",,,,962,51,0,70,15,31,135,62,116,168,212,56,46,5.3,0,7.28,1.56,3.22,14.03,6.44,12.06,17.46,22.04,5.82,4.78
"110010001023","Block Group 3, Census Tract 1.02, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000218",,,,,"11","001",,,"000102","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010001023","Block Group 3",,,,842,17,43,0,0,15,152,103,134,87,109,126,56,2.02,5.11,0,0,1.78,18.05,12.23,15.91,10.33,12.95,14.96,6.65
"110010002011","Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000219",,,,,"11","001",,,"000201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010002011","Block Group 1",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
"110010002012","Block Group 2, Census Tract 2.01, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000220",,,,,"11","001",,,"000201","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010002012","Block Group 2",,,,3938,0,0,0,39,3815,27,3,18,14,11,8,3,0,0,0,0.99,96.88,0.69,0.08,0.46,0.36,0.28,0.2,0.08
"110010002021","Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000221",,,,,"11","001",,,"000202","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010002021","Block Group 1",,,,1068,77,61,0,18,115,45,169,59,241,212,55,16,7.21,5.71,0,1.69,10.77,4.21,15.82,5.52,22.57,19.85,5.15,1.5
"110010002022","Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000222",,,,,"11","001",,,"000202","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010002022","Block Group 2",,,,647,0,33,32,23,43,15,50,91,80,216,64,0,0,5.1,4.95,3.55,6.65,2.32,7.73,14.06,12.36,33.38,9.89,0
"110010002023","Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000223",,,,,"11","001",,,"000202","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010002023","Block Group 3",,,,878,0,0,0,0,278,197,32,19,336,0,16,0,0,0,0,0,31.66,22.44,3.64,2.16,38.27,0,1.82,0
"110010002024","Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000224",,,,,"11","001",,,"000202","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010002024","Block Group 4",,,,1832,0,0,0,9,1097,126,101,161,132,139,52,15,0,0,0,0.49,59.88,6.88,5.51,8.79,7.21,7.59,2.84,0.82
