X,Y,OBJECTID,ADDRESS,NAME,PLOTS,ORGANIZATION,XCOORD,YCOORD,MAR_ID,CONTACT,PHONE,EMAIL,CONTACT2,WEB_URL,COMMENTS,LATITUDE,LONGITUDE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-77.0309695580512,38.9705343921221,1,1327 VAN BUREN STREET NW,Ft. Stevens Garden,9,DPR,397305.72,144706.25,290152,Mrs. Corina Prince,829-8457, , ,http://dpr.dc.gov/page/dpr-community-gardens, ,38.97052659,-77.03096726,CommunityGardenPt_1,{D424973D-2F1D-4E71-A332-569D43EB7F8D},,,,
-77.0180539695569,38.9688944917971,2,300 VAN BUREN STREET NW,Takoma Garden,11,DPR,398435.64,144552.48,296168,,,,,,,38.96888669,-77.01805168,CommunityGardenPt_2,{3F59A195-CC57-4949-A6B5-A7DDCF90E34A},,,,
-77.0536197109103,38.9667226035485,3,OREGON AVENUE NW AND NORTHAMPTON STREET NW,Rock Creek Garden,,NPS,395310.5999936,144382.98000342,904431,Nancy Oswald,882-9527 or 583-4740,nmoswald@yahoo.com, ,http://dcgardens.com/community-gardens/, ,38.9667148,-77.05361741,CommunityGardenPt_3,{D0518FF8-FE38-47B1-8050-B9CB8EA71957},,,,
-77.030469133104,38.9636832658088,4,13TH STREET NW AND FORT STEVENS DRIVE NW,Fort Stevens Community Garden,,NPS,397396.07999554,144052.68000311,903937,,,,,,,38.96367546,-77.03046683,CommunityGardenPt_4,{82825E83-2272-4131-9607-99AFC1924849},,,,
-77.025288753683,38.9630378075646,5,8TH STREET NW AND PEABODY STREET NW,Peabody Garden,,NPS,397902.05001201,143865.95001894,901763,William Vest,722-5270, , ,http://dcgardens.com/community-gardens/, ,38.96303001,-77.02528646,CommunityGardenPt_5,{68F17929-52CD-43A4-9A55-E8DE58CC2429},,,,
-77.00834713069,38.9605887469908,6,NICHOLSON STREET NW AND BLAIR ROAD NW,Blair Road Community Garden,,NPS,399198.17001321,143586.29001868,18636,,,,,,,38.96058095,-77.00834484,CommunityGardenPt_6,{C0090024-B9B4-48E0-958D-1D0D1E062CFF},,,,
-77.0262600636839,38.9598346898779,7,9TH STREET NW AND MISSOURI AVENUE NW,Emery Garden,40,DPR,397750.93,143599.5,902554, ,387-3984, ,Alice Martin,http://dpr.dc.gov/page/dpr-community-gardens, ,38.95982689,-77.02625777,CommunityGardenPt_7,{E03B4E80-FC8C-4B60-93D3-F4007463BDE2},,,,
-77.006453386263,38.9529262030429,8,100 GALLATIN STREET NE,Mamie D. Lee Garden,,NPS,399351.72,142773.48,294470, ,301-422-7983,MamieDLeeGarden@gmail.com, ,http://mamiedleegarden.blogspot.com/, ,38.95291841,-77.0064511,CommunityGardenPt_8,{0CCBE5E6-7581-4B55-B312-D54DDE2860FA},,,,
-77.031330947246,38.9525113693191,9,1340 HAMILTON STREET NW,Hamilton Garden,8,DPR,397283.77,142746.35,255042,,,,,,,38.95250357,-77.03132866,CommunityGardenPt_9,{34DD3EEA-1D2B-4A5D-8AFA-7813C254DDB8},,,,
-77.0796917531886,38.9516390786484,10,BELT ROAD NW AND DAVENPORT STREET NW,Fort Reno Garden,,NPS,393079.95999153,142692.40000185,903365,Martha Hamilton,362-1434, , ,http://fieldtoforknetwork.org/community-gardens/fort-reno/, ,38.95163128,-77.07968944,CommunityGardenPt_10,{BC2DD65F-7580-4552-8105-0364DC4BA60F},,,,
-77.0005590097109,38.9492023863404,11,4900 PUERTO RICO AVENUE NE,CAFB Urban Demonstration Garden,,Capital Area Food Bank,400047.08,142156.04,288297,,,,,,,38.94919459,-77.00055672,CommunityGardenPt_11,{CF112C03-8BD4-4A37-89CD-B955DA668002},,,,
-77.0878589201776,38.944397826541,12,45TH STREET NW AND VAN NESS STREET NW,Friendship Garden,50,DPR,392390.85000689,141700.31001693,903069,Penni St. Hilaire,966-4087,tommyt@erols.com,Tommy Tomlinson,http://dpr.dc.gov/page/dpr-community-gardens, ,38.94439003,-77.08785661,CommunityGardenPt_12,{3D1FF3E0-6835-4240-92A8-E01086F424D7},,,,
-77.0315029909359,38.9426902700319,13,14TH STREET NW AND UPSHUR STREET NW,Upshur Garden,40,DPR,397162.77999532,141553.40000079,902178,,,,,,,38.94268247,-77.0315007,CommunityGardenPt_13,{3AA25DD1-F6BF-4B8A-8813-AF117956998E},,,,
-77.0327299601079,38.9408141544621,14,14TH STREET NW AND TAYLOR STREET NW,Twin Oaks Community Garden,40,DPR,397162.69999532,141435.66000068,902177,Kelly Melsted, ,kelly.melsted@dc.gov, ,http://dpr.dc.gov/page/dpr-community-gardens, ,38.94080636,-77.03272766,CommunityGardenPt_14,{F4B42ED2-C583-4B4E-8041-27F5F1D6D3D6},,,,
-77.0621445339501,38.9394125251234,15,SEDGWICK STREET NW AND CONNECTICUT AVENUE NW,Melvin Hazen Garden,,NPS,394734.59000907,141279.61001654,904847,Karin Adams,244-3140,Melvin.Hazen.Garden@verizon.net, ,https://sites.google.com/site/melvinhazengarden/, ,38.93940473,-77.06214223,CommunityGardenPt_15,{FDE93927-1835-4BA2-B8B0-4DE80975E569},,,,
-76.9924382621403,38.9394134512911,16,1100 MICHIGAN AVENUE NE,Turkey Thicket Gardens,23,DPR,400641.56,141130.75,74630,,,turkeythicketgardeners@gmail.com,,http://dpr.dc.gov/page/dpr-community-gardens,,38.93940566,-76.99243598,CommunityGardenPt_16,{9C1833CD-F724-4C55-AE5D-5EE88F38CD4C},,,,
-77.027896121521,38.9381368906959,17,"ALLEY LOT BETWEEN QUINCY ST NW, KANSAS AVE NW, RANDOLPH ST NW, AND 10TH ST NW",Petworth 10th Quincy Kansas Community Garden,,,0,0,,,,,,,,38.93812909,-77.02789382,CommunityGardenPt_17,{AE5178B3-350A-4641-ACCB-F33A949E6165},,,,
