X,Y,NAME,LAYER,THEME,IMAGE_,ADDRESS,PHONE,VOUCHERS,PRIORITY_LEVEL,DESCRIPTION,EMAIL_PHONE,DAY,SEASONOPEN,SEASONCLOSE,WEB_URL,WEB_URL2,STEWARD,SOURCE,LAST_UPDAT,OBJECTID,XCOORD,YCOORD,MAR_ID,SE_ANNO_CAD_DATA,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,LATITUDE,LONGITUDE
-77.0751109184115,38.9651662188759,Chevy Chase/Broad Branch Farmers' Market,Farmers Market,Local Business & Food,,5601 Connecticut Ave. NW,,,,Locally grown fresh fruits and vegetables. Saturday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,YearRound,YearRound,http://chevychasefarmersmarket.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,1,393490.74,144141.13,263959,,FarmersMarketPt_9,{BA7F2149-421B-4053-9C2F-25BD6C2062D6},,,DCGIS,2018/01/03 16:47:52+00,38.96515875,-77.07510862
-77.0331344165924,38.9558294014263,14th & Kennedy Farmers' Market,Farmers Market,Local Business & Food,,5425 14th St NW,,"Accepts SNAP, WIC and senior farmers market nutrition program benefits.",,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,April,November,http://freshvistafarmersmarkets.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,2,397128.24,143102.5,304708,,FarmersMarketPt_10,{81DB3732-F194-4E23-BD85-4C01FFBA5870},,,DCGIS,2018/01/03 16:47:52+00,38.95582194,-77.03313213
-77.0699673021481,38.9470039939949,New Morning Farmers Market at the Sheridan School,Farmers Market,Local Business & Food,,3600 Alton Place NW,814.448.3904,"Accepts WIC, senior farmers market nutrition program and Produce Plus benefits.",1,Locally grown fresh fruits and vegetables. Saturday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,"Tuesday, Saturday",YearRound,,http://www.newmorningfarm.net/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,3,393934.964500017,142124.603300001,,,FarmersMarketPt_11,{A796CC2A-E688-4F90-8628-6B1B98172BC2},,,DCGIS,2018/01/03 16:49:14+00,38.9469962,-77.06996499
-77.0644072747944,38.9441282945027,UDC Farmers Market,Farmers Market,Local Business & Food,,4200 Connecticut Ave NW,202-274-7148,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; distributes Produce Plus checks.",,Locally grown fresh fruits and vegetables. July-Nov. Saturday.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,May,November,https://www.udc.edu/event/farmers-market/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,4,394416.72,141805.02,297694,,FarmersMarketPt_12,{0EB6EBBC-82CC-40A2-B5D1-E9B94D306B24},,,DCGIS,2018/01/03 16:47:52+00,38.9441205,-77.06440497
-77.0247745938037,38.9413712924505,Petworth Community Market,Farmers Market,Local Business & Food,,4121 9th St NW,,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; Matching dollars for SNAP and WIC customers; distributes Produce Plus checks.",,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,May,November,https://petworthcmarket.wordpress.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,5,397852.4,141497.29,252482,,FarmersMarketPt_13,{77E47183-0DCC-4E49-BC54-56780B300A2B},,,DCGIS,2018/01/03 16:47:52+00,38.94136383,-77.02477231
-76.978597782537,38.9368039428738,Arcadia's Mobile Market at Perry Street Prep,Farmers Market,Local Business & Food,,1800 Perry St NE,,,,,jennifer.guillaume@dc.gov _ 535-2252,Thursday,May,October,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,6,401855.75,140990.2,294529,,FarmersMarketPt_14,{C55A1C5A-EA8D-4102-B7B3-2AF741225F56},,,DCGIS,2018/01/03 16:47:52+00,38.93679648,-76.97859551
-76.9925747449232,38.9345943985624,Brookland Farmers' Market,Farmers Market,Local Business & Food,,1000 Otis St NE,202-526-4848,"Accepts SNAP, WIC and EBT; distributes Produce Plus checks.",1,Locally grown fresh fruits and vegetables. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Tuesday,June,October,http://lickingcreekbendfarm.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,7,400643.98,140744.73,76151,,FarmersMarketPt_15,{9A23CB04-7DA8-4834-8C9D-F4DA978D59CD},,,DCGIS,2018/01/03 16:47:52+00,38.93458694,-76.99257247
-77.0584161057319,38.9343525756606,Cleveland Park Saturday Farmers' Market,Farmers Market,Local Business & Food,,3400 Connecticut Ave NW,,,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,June,,,,Jen,http://www.dcfoodfinder.org/,Fall 2017,8,394935.4,140719.48,220980,,FarmersMarketPt_16,{E4319D1F-A49E-4523-9649-027BAAF9BE32},,,DCGIS,2018/01/03 16:47:52+00,38.93434512,-77.05841381
-76.9950085085725,38.9328407911034,Brookland's Monroe Street Farmers' Market,Farmers Market,Local Business & Food,,716 Monroe St NE,,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; doubles SNAP, WIC, and senior farmers market nutrition program checks; distributes Produce Plus checks.",,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,April,December,http://www.community-foodworks.org/farmers-markets,,Jen,http://www.dcfoodfinder.org/,Fall 2017,9,400432.98,140550.05,309744,,FarmersMarketPt_17,{30120097-A8A1-42B0-A5E7-1709716269E8},,,DCGIS,2018/01/03 16:47:52+00,38.93283333,-76.99500622
-77.0385285240206,38.9313361316121,Mount Pleasant Farmers' Market,Farmers Market,Local Business & Food,farmsmkt_mtpleasant.jpg,3200 Mt Pleasant St NW,,"Accepts WIC and senior farmers market nutrition program benefits; distributes Produce Plus checks.",1,Locally grown fresh fruits and vegetables. May-Nov. Sat. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,April,,http://mtpfm.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,10,396659.554000013,140383.713,,,FarmersMarketPt_18,{91E7798E-CF98-4F0E-B92E-E7808F667419},,,DCGIS,2018/01/03 16:49:14+00,38.93132834,-77.03852623
-77.0318532533954,38.9298582294063,Columbia Heights Farmers' Market,Farmers Market,Local Business & Food,,1375 Kenyon St NW,,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; $10 matching prgram for nutrition assistance customers; distributes Produce Plus checks.",,,jennifer.guillaume@dc.gov _ 535-2252,"Wednesday, Saturday",April,December,http://community-foodworks.org/farmers-markets,,Jen,http://www.dcfoodfinder.org/,Fall 2017,11,397238.28,140219.43,297618,,FarmersMarketPt_19,{59A59CBF-B15A-4D6B-B659-B217BE298FD1},,,DCGIS,2018/01/03 16:47:52+00,38.92985077,-77.03185097
-77.0605693476439,38.928249880716,Twin Springs Maret School Market,Farmers Market,Local Business & Food,farmsmkt_twinsprings.jpg,3000 Cathedral Ave. NW,(717) 334-4582,Accepts WIC and senior farmers market nutrition program benefits.,,Locally grown fresh fruits and vegetables. Summer-Dec. Saturday.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,YearRound,YearRound,http://www.twinspringsfruitfarm.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,12,394748.26,140042.15,220176,,FarmersMarketPt_20,{6ECF675E-01CD-4F79-8285-35C33B64D8B0},,,DCGIS,2018/01/03 16:47:52+00,38.92824242,-77.06056706
-77.0137538425946,38.9276870643592,Arcadia's Mobile Market at Children's National Medical Center WIC Clinic,Farmers Market,Local Business & Food,,"111 Michigan Ave., NW",,"Accepts SNAP, WIC and senior farmers market nutrition program; matching program for voucher customers; distributes Produce Plus checks.",,,jennifer.guillaume@dc.gov _ 535-2252,Wednesday,May,November,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,13,398807.6,139978.02,243365,,FarmersMarketPt_21,{3CDEBEE1-C2E9-4570-9820-8D0153B4F443},,,DCGIS,2018/01/03 16:47:52+00,38.92767927,-77.01375155
