X,Y,OBJECTID,STORE,ADDRESS,XCOORD,YCOORD,MATCHTYPE,MAR_ID,LATITUDE,LONGITUDE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-77.0190790407803,38.9750463244945,1,BP Blaire Gas Station,7000 Blair Rd NW,398346.95,145235.41,Exact,249127,38.97503886,-77.01907675,HealthyCornerStorePt_1,{F6CD05AE-1648-404D-B7A3-603BE5E3361B},,,,
-77.0284308968241,38.9615254825314,2,Missouri Avenue Market,5900 Georgia Ave NW,397536.12,143734.68,Exact,253189,38.96151802,-77.0284286,HealthyCornerStorePt_2,{87C1AAA2-139C-4A8D-AA34-DF7A3AA1312C},,,,
-77.0103553040332,38.9564381831221,3,Capital View Convenience Store,12 Kennedy St NW,399102.65,143169.61,Exact,283923,38.95643072,-77.01035301,HealthyCornerStorePt_3,{77D178A5-1D12-492B-A96C-5D0FFC242C97},,,,
-77.0277493109466,38.955824587951,4,S&G Liquor and Grocery,5421 Georgia Ave NW,397595,143101.81,Exact,254615,38.95581712,-77.02774702,HealthyCornerStorePt_4,{D8EB793F-418B-43A8-843B-DA0CFACA0832},,,,
-77.0201964558201,38.95582573137,5,Starlight Food,5424 5th St NW,0,0,Manual,,,,HealthyCornerStorePt_5,{1DA97531-D58F-4F82-9D9B-4071D1B7B361},,,,
-77.0071933164038,38.9500421880721,6,Milestone Place,4860 Fort Totten Dr NE,399376.66,142459.57,Exact,16680,38.95003472,-77.00719103,HealthyCornerStorePt_6,{80556AEA-F113-4E16-A788-3A18FB287469},,,,
-77.0266452019107,38.9484269809065,7,Kwik Stop,4801 Georgia Ave NW,397690.46,142280.58,Exact,252033,38.94841952,-77.02664291,HealthyCornerStorePt_7,{754C7587-F6CA-4CE3-8410-2D573D01F0AA},,,,
-76.9912385611898,38.9337032046674,8,Newton Market,3600 12th St NE,400759.84,140645.81,Exact,33055,38.93369574,-76.99123628,HealthyCornerStorePt_8,{00EC9228-3F6D-43EE-922A-E1A0D4297646},,,,
-77.0231891461319,38.93041193872,9,7 Days Market,3211 Georgia Ave NW,397989.54,140280.67,Exact,229000,38.93040448,-77.02318685,HealthyCornerStorePt_9,{02F32E5B-44F4-4906-AD51-0DCD2CC67F6F},,,,
-76.9599158228753,38.9298254296241,10,Dollar Plus Food Store (Bladensburg Rd.),3182 Bladensburg Rd NE,403475.8,140216.07,Exact,287723,38.92981797,-76.95991355,HealthyCornerStorePt_10,{68C71BD0-D14D-4659-835A-6CC27D771DCE},,,,
-76.9757916979631,38.9295330622489,11,Good Food Markets,2006 Rhode Island Ave NE,402099.25,140183.13,Exact,53027,38.9295256,-76.97578942,HealthyCornerStorePt_11,{FE9E6F06-FBEA-453B-AF1D-CDF5863FDCD2},,,,
-77.0229321429655,38.9288364357396,12,Market 77,3021 Georgia Ave NW,398011.78,140105.77,Exact,229488,38.92882898,-77.02292985,HealthyCornerStorePt_12,{62706C17-4843-480F-96EC-50C8C5691F46},,,,
-77.0258344196009,38.9279726535577,13,Stop And Go,3001 Sherman Ave NW,397760.1,140009.95,Exact,232775,38.92796519,-77.02583213,HealthyCornerStorePt_13,{C3FAD99F-EFF9-45FD-A4C7-69C35F525A30},,,,
-77.0268011752546,38.9266600143414,14,Sonya’s Market,2833 11th St NW,397676.23,139864.26,Exact,231729,38.92665256,-77.02679888,HealthyCornerStorePt_14,{6E9404B9-66A8-4E1E-B1FC-898EE772058D},,,,
-76.9812672657935,38.9262330613204,15,Neighborhood Market,1611 Rhode Island Ave NE,401624.55,139816.69,Exact,59933,38.9262256,-76.98126499,HealthyCornerStorePt_15,{E2EF92D6-F271-4F6B-9307-207107850915},,,,
-76.9715815197215,38.9253612643867,16,Bodega Market (Franklin St),2409 Franklin St NE,402464.45,139720.13,Exact,47576,38.9253538,-76.97157924,HealthyCornerStorePt_16,{D778C6C3-CF47-4968-8ECA-10ED21C9A24C},,,,
-76.986045152091,38.9250649902263,17,Quick Trip,1356 Brentwood Rd NE,401210.27,139686.95,Exact,149954,38.92505753,-76.98604287,HealthyCornerStorePt_17,{68341F45-E370-4345-B3A1-5FC2F62943F4},,,,
-77.0320553446305,38.9250312484379,18,Uptown Market,2701 14th St NW,397220.57,139683.6,Exact,231633,38.92502379,-77.03205305,HealthyCornerStorePt_18,{90C696DE-FE72-4CCE-82CA-D7624319F74A},,,,
-76.9927178450647,38.922616504144,19,Midtown Market,936 Rhode Island Ave NE,400631.68,139415.08,Exact,289090,38.92260905,-76.99271556,HealthyCornerStorePt_19,{BC259274-E2B3-4CE4-9F24-CBCB24034200},,,,
-77.0087318860464,38.9225320866232,20,Capitol Market,2501 North Capitol St NE,399243,139405.72,Exact,46731,38.92252463,-77.0087296,HealthyCornerStorePt_20,{ECB3B597-E0A6-4837-8D2C-46C93202018C},,,,
-77.0093774879071,38.9211555646143,21,Sunbeam Market,2324 North Capitol St NW,399187,139252.92,Exact,228141,38.92114811,-77.0093752,HealthyCornerStorePt_21,{8EE7A8E4-F539-410F-B97C-90AC370F48EE},,,,
-77.0244377846147,38.9178115656794,22,Crown Gas Station Florida Ave,908 Florida Ave NW,397880.9,138881.95,Exact,239467,38.91780411,-77.02443549,HealthyCornerStorePt_22,{5BB0171A-5873-492B-81B3-F575B807FEDC},,,,
-77.0124177429775,38.916865424592,23,New Reservoir Market,1942 1st Street NW,398923.29,138776.71,Exact,227484,38.91685797,-77.01241545,HealthyCornerStorePt_23,{FE1913D4-C918-4BDC-9EDF-F9511B7560DF},,,,
-76.9810458562919,38.9166369972224,24,Shell New York Avenue,1601 New York Ave NE,401643.97,138751.45,Exact,286332,38.91662954,-76.98104358,HealthyCornerStorePt_24,{832E45CD-B228-488A-A4C7-5BAE7B2C35B4},,,,
-77.0298779550348,38.9154298490864,25,Whitelaw Market,1846 13th St NW,397409.03,138617.7,Exact,240475,38.91542239,-77.02987566,HealthyCornerStorePt_25,{7A4309D9-40CC-469E-8A99-2088FD07B1F5},,,,
-77.0009972659732,38.9153096204047,26,McKinley Market,321 T Street NE,399913.71,138603.93,Exact,38666,38.91530216,-77.00099498,HealthyCornerStorePt_26,{76BCCE23-32AE-4C12-BD68-481EF2D0FB28},,,,
