Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007,PCT_SE_A10030_002,PCT_SE_A10030_003,PCT_SE_A10030_004,PCT_SE_A10030_005,PCT_SE_A10030_006,PCT_SE_A10030_007
"11001000101","Census Tract 1.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000009",,,,,"11","001",,,"000101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000101","Census Tract 1.01",,,,762,249,383,120,10,0,0,32.68,50.26,15.75,1.31,0,0
"11001000102","Census Tract 1.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000010",,,,,"11","001",,,"000102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000102","Census Tract 1.02",,,,1807,373,913,447,74,0,0,20.64,50.53,24.74,4.1,0,0
"11001000201","Census Tract 2.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000011",,,,,"11","001",,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000201","Census Tract 2.01",,,,0,0,0,0,0,0,0,,,,,,
"11001000202","Census Tract 2.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000012",,,,,"11","001",,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000202","Census Tract 2.02",,,,1801,440,977,246,98,40,0,24.43,54.25,13.66,5.44,2.22,0
"11001000300","Census Tract 3, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000013",,,,,"11","001",,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000300","Census Tract 3",,,,2510,362,1379,685,70,14,0,14.42,54.94,27.29,2.79,0.56,0
"11001000400","Census Tract 4, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000014",,,,,"11","001",,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000400","Census Tract 4",,,,592,99,256,182,34,21,0,16.72,43.24,30.74,5.74,3.55,0
"11001000501","Census Tract 5.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000015",,,,,"11","001",,,"000501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000501","Census Tract 5.01",,,,2069,869,875,311,14,0,0,42,42.29,15.03,0.68,0,0
"11001000502","Census Tract 5.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000016",,,,,"11","001",,,"000502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000502","Census Tract 5.02",,,,1730,356,992,318,31,23,10,20.58,57.34,18.38,1.79,1.33,0.58
"11001000600","Census Tract 6, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000017",,,,,"11","001",,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000600","Census Tract 6",,,,2222,531,1068,580,27,0,16,23.9,48.06,26.1,1.22,0,0.72
"11001000702","Census Tract 7.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000018",,,,,"11","001",,,"000702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000702","Census Tract 7.02",,,,2169,784,1285,82,18,0,0,36.15,59.24,3.78,0.83,0,0
"11001000703","Census Tract 7.03, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000019",,,,,"11","001",,,"000703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000703","Census Tract 7.03",,,,2126,633,1135,288,70,0,0,29.77,53.39,13.55,3.29,0,0
"11001000704","Census Tract 7.04, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000020",,,,,"11","001",,,"000704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000704","Census Tract 7.04",,,,1410,367,707,241,80,15,0,26.03,50.14,17.09,5.67,1.06,0
"11001000802","Census Tract 8.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000021",,,,,"11","001",,,"000802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000802","Census Tract 8.02",,,,1452,219,686,454,93,0,0,15.08,47.25,31.27,6.4,0,0
"11001000803","Census Tract 8.03, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000022",,,,,"11","001",,,"000803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000803","Census Tract 8.03",,,,1191,224,750,217,0,0,0,18.81,62.97,18.22,0,0,0
"11001000804","Census Tract 8.04, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000023",,,,,"11","001",,,"000804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000804","Census Tract 8.04",,,,1232,33,472,390,310,27,0,2.68,38.31,31.66,25.16,2.19,0
"11001000902","Census Tract 9.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000024",,,,,"11","001",,,"000902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000902","Census Tract 9.02",,,,857,54,285,355,140,16,7,6.3,33.26,41.42,16.34,1.87,0.82
