Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
"11001000101","Census Tract 1.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000009",,,,,"11","001",,,"000101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000101","Census Tract 1.01",,,,1250,16205.58,0.0771339481109565
"11001000102","Census Tract 1.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000010",,,,,"11","001",,,"000102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000102","Census Tract 1.02",,,,3318,5035.84,0.658877183986953
"11001000201","Census Tract 2.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000011",,,,,"11","001",,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000201","Census Tract 2.01",,,,3972,20370.99,0.19498314277904
"11001000202","Census Tract 2.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000012",,,,,"11","001",,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000202","Census Tract 2.02",,,,4665,15561.24,0.29978324223896
"11001000300","Census Tract 3, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000013",,,,,"11","001",,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000300","Census Tract 3",,,,6504,16163.86,0.402379084381858
"11001000400","Census Tract 4, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000014",,,,,"11","001",,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000400","Census Tract 4",,,,1481,2488.759,0.595075730080603
"11001000501","Census Tract 5.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000015",,,,,"11","001",,,"000501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000501","Census Tract 5.01",,,,3343,9208.55,0.363032183932899
"11001000502","Census Tract 5.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000016",,,,,"11","001",,,"000502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000502","Census Tract 5.02",,,,3580,15945.05,0.224521117472359
"11001000600","Census Tract 6, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000017",,,,,"11","001",,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000600","Census Tract 6",,,,4942,8877.197,0.55670721254307
"11001000702","Census Tract 7.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000018",,,,,"11","001",,,"000702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000702","Census Tract 7.02",,,,2971,24905.1,0.119292830700374
