Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"11001000101","Census Tract 1.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000009",,,,,"11","001",,,"000101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000101","Census Tract 1.01",,,,756,0,32,33,64,0,6,0,0,0,13,0,36,123,12,124,313,0,4.23,4.37,8.47,0,0.79,0,0,0,1.72,0,4.76,16.27,1.59,16.4,41.4
"11001000102","Census Tract 1.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000010",,,,,"11","001",,,"000102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000102","Census Tract 1.02",,,,1762,13,0,38,0,0,12,46,15,16,31,168,101,167,112,221,822,0.74,0,2.16,0,0,0.68,2.61,0.85,0.91,1.76,9.53,5.73,9.48,6.36,12.54,46.65
"11001000201","Census Tract 2.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000011",,,,,"11","001",,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000201","Census Tract 2.01",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
"11001000202","Census Tract 2.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000012",,,,,"11","001",,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000202","Census Tract 2.02",,,,1727,109,7,16,14,3,0,0,0,0,93,57,80,347,65,162,774,6.31,0.41,0.93,0.81,0.17,0,0,0,0,5.39,3.3,4.63,20.09,3.76,9.38,44.82
"11001000300","Census Tract 3, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000013",,,,,"11","001",,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000300","Census Tract 3",,,,2377,57,99,29,8,0,63,8,15,0,194,143,136,260,129,302,934,2.4,4.16,1.22,0.34,0,2.65,0.34,0.63,0,8.16,6.02,5.72,10.94,5.43,12.71,39.29
"11001000400","Census Tract 4, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000014",,,,,"11","001",,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000400","Census Tract 4",,,,578,50,0,15,7,5,0,0,5,5,52,28,34,63,11,91,212,8.65,0,2.6,1.21,0.87,0,0,0.87,0.87,9,4.84,5.88,10.9,1.9,15.74,36.68
"11001000501","Census Tract 5.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000015",,,,,"11","001",,,"000501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000501","Census Tract 5.01",,,,1978,100,6,162,0,0,19,167,38,5,97,109,177,126,173,270,529,5.06,0.3,8.19,0,0,0.96,8.44,1.92,0.25,4.9,5.51,8.95,6.37,8.75,13.65,26.74
"11001000502","Census Tract 5.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000016",,,,,"11","001",,,"000502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000502","Census Tract 5.02",,,,1641,46,49,8,10,37,0,10,15,3,71,83,173,169,127,223,617,2.8,2.99,0.49,0.61,2.25,0,0.61,0.91,0.18,4.33,5.06,10.54,10.3,7.74,13.59,37.6
"11001000600","Census Tract 6, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000017",,,,,"11","001",,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000600","Census Tract 6",,,,2105,34,172,11,0,2,0,77,0,57,24,103,155,176,171,232,891,1.62,8.17,0.52,0,0.1,0,3.66,0,2.71,1.14,4.89,7.36,8.36,8.12,11.02,42.33
"11001000702","Census Tract 7.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000018",,,,,"11","001",,,"000702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000702","Census Tract 7.02",,,,2154,186,70,98,2,138,69,28,56,23,211,297,401,167,86,156,166,8.64,3.25,4.55,0.09,6.41,3.2,1.3,2.6,1.07,9.8,13.79,18.62,7.75,3.99,7.24,7.71
