X,Y,LICENSE,APPLICANT,TRADE_NAME,CLASS,ADDRESS,ZIPCODE,WARD,ANC,SMD,STATUS,TYPE,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,COVERCHARGE,DANCING,OFFPREMISESTORAGE,STORAGEFACILITY,DISTILLERY_PUB,TOTAL_CAPACITY,GAMES_OF_SKILL,SPORTS_WAGGERING,CARRYOUT_DELIVERY,MAR_ID,XCOORD,YCOORD,LONGITUDE,LATITUDE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID
-77.0315489127076,38.8970267006448,ABRA-000001,National Press Club of Washington,National Press Club,C,529 14TH STREET NW,20045,Ward 2,ANC 2C,SMD 2C01,Active,Club,,,,,,,,,,,,,,,,CHECKED,301074,397263.41,136574.85,-77.03154662,38.89701925,ABRALicenseePt_1,{36A31358-161C-4533-A08E-FC5306477588},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,4801
-77.0835816434693,38.9574994861833,ABRA-000010,Pauls Liquors Inc.,Pauls Discount Wine & Liquor,A,5205 WISCONSIN AVENUE NW,20015,Ward 3,ANC 3E,SMD 3E04,Safekeeping,Retail - Liquor Store,,,,,,CHECKED,,,,,,,,,,,285133,392755.85,143290.69,-77.08357933,38.95749202,ABRALicenseePt_2,{46323846-6F1F-4459-A270-C3D9AF62CB07},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,4802
-77.0266847808328,38.9062380583534,ABRA-000023,Don Ho Inc,District Liquors,A,1211 11TH STREET NW,20001,Ward 2,ANC 2F,SMD 2F07,Active,Retail - Liquor Store,,,,,,CHECKED,,,,CHECKED,,,,,,,239344,397685.66,137597.25,-77.02668249,38.9062306,ABRALicenseePt_3,{CE005EA3-22AE-4BC3-B862-1C8ECCA8B7EE},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,4803
-77.047695536112,38.8963108239941,ABRA-000037,The Fischer Corporation,Riverside Liquors,A,2123 E STREET NW,20037,Ward 2,ANC 2A,SMD 2A07,Active,Retail - Liquor Store,,,,,,CHECKED,,,,,,,,,,,242543,395862.69,136495.99,-77.04769324,38.89630337,ABRALicenseePt_4,{7B4C17C9-477F-4A04-B9CA-70DF99D88D54},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,4804
-77.0361621983239,38.9050036170387,ABRA-000056,The University Club,"University Club of Washington, DC",C,1135 16TH STREET NW,20036,Ward 2,ANC 2B,SMD 2B05,Active,Club,,,,,,,,,,,,,,,,CHECKED,242330,396863.57,137460.5,-77.0361599,38.90499616,ABRALicenseePt_5,{D5E6318F-DB2D-463C-8FD3-F2D06E25127D},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,4805
-77.0398083253381,38.899981353431,ABRA-000086,The Metropolitan Club of DC,The Metropolitan Club Of The City Of Washington,C,1700 H STREET NW,20006,Ward 2,ANC 2B,SMD 2B06,Active,Club,,,,,CHECKED,,,,,,,,52,,,,218406,396547.07,136903.12,-77.03980603,38.8999739,ABRALicenseePt_6,{69615336-BB83-4E06-B4A0-03854879CAC2},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,4806
-77.0963761443543,38.9178152739642,ABRA-000104,"Mac Arthur Liquors, Inc.",Bassin's Mac Arthur Liquors,A,4877 MACARTHUR BOULEVARD NW,20007,Ward 3,ANC 3D,SMD 3D05,Active,Retail - Liquor Store,,,,,,CHECKED,,,,,,,,,,,285006,391642.25,138886.49,-77.09637383,38.91780782,ABRALicenseePt_7,{A5691D4A-2F82-47DD-BC08-7E6D23DB9ADB},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,4807
-77.0382481149745,38.9017298568062,ABRA-000114,The Army & Navy Club,The Army & Navy Club,C,901 17TH STREET NW,20006,Ward 2,ANC 2B,SMD 2B05,Active,Club,,,,,,,,,,,,,424,,,CHECKED,285568,396682.49,137097.16,-77.03824582,38.9017224,ABRALicenseePt_8,{DC36A22C-5263-41E9-AD54-262F80DEFC70},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,4808
-77.0476889384252,38.9114447733711,ABRA-000150,Cosmos Club,Cosmos Club,C,2121 MASSACHUSETTS AVENUE NW,20008,Ward 2,ANC 2B,SMD 2B02,Active,Club,,,,,CHECKED,,,,,,,,,,,CHECKED,242721,395864.14,138175.98,-77.04768664,38.91143732,ABRALicenseePt_9,{9B8584C8-04A0-4720-834B-358179577401},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,4809
-77.0382665701494,38.9109880931714,ABRA-000168,"G and G Investments, Inc.",Trio Rest & Fox & Hounds Lounge,C,1537 17TH STREET NW,20036,Ward 2,ANC 2B,SMD 2B05,Active,Restaurant,,,,CHECKED,,,,,,,,,105,CHECKED,,,225772,396681.32,138124.9,-77.03826427,38.91098064,ABRALicenseePt_10,{C2EA7590-2B88-4DBC-A3CE-B9C982AD4043},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,4810
